SourceWell,DestinationWell,Vol of dna,Vol of water
A1,A1,2.16,4.32
B1,B1,1.92,3.84
C1,C1,1.94,3.88
D1,D1,1.85,3.70
E1,E1,1.89,3.78
F1,F1,1.90,3.80
G1,G1,1.77,3.54
H1,H1,1.79,3.58
A2,A2,1.94,3.88
B2,B2,1.94,3.88
C2,C2,2.12,4.24
D2,D2,2.02,4.04
E2,E2,2.54,5.08
F2,F2,2.08,4.16
G2,G2,1.98,3.96
H2,H2,1.86,3.72
A3,A3,1.91,3.82
B3,B3,1.80,3.60
C3,C3,1.85,3.70
D3,D3,1.84,3.68
E3,E3,1.92,3.84
F3,F3,2.00,4.00
G3,G3,2.23,4.46
H3,H3,1.91,3.82
A4,A4,1.80,3.60
B4,B4,1.98,3.96
C4,C4,1.89,3.78
D4,D4,1.74,3.48
E4,E4,1.79,3.58
F4,F4,2.10,4.20
G4,G4,2.04,4.04
H4,H4,2.06,4.12
