WorklistNumber,20001234,StartTip,A1
PatientId,SourceWell,VolumeToTransfer,DestinationWell
01,A1,2.16,A1
02,B1,1.92,A1
03,C1,1.94,A1
04,D1,1.85,A1
05,E1,1.89,A1
06,F1,1.90,A1
07,G1,1.77,A1
08,H1,1.79,A1
09,A2,1.94,A2
10,B2,1.94,A2
11,C2,2.12,A2
12,D2,2.02,A2
13,E2,2.54,A2
14,F2,2.08,A2
15,G2,1.98,A2
16,H2,1.86,A2
17,A3,1.91,A3
18,B3,1.80,A3
19,C3,1.85,A3
20,D3,1.84,A3
21,E3,1.92,A3
22,F3,2.00,A3
23,G3,2.23,A3
24,H3,1.91,A3
25,A4,1.80,A4
26,B4,1.98,A4
27,C4,1.89,A4
28,D4,1.74,A4
29,E4,1.79,A4
30,F4,2.10,A4
31,G4,2.04,A4
32,H4,2.06,A4
